,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Puerto Ayora,20,EC,1573177833,73,-0.74,-90.35,73.4,13.87
1,Busselton,0,AU,1573177872,52,-33.64,115.35,70.32,8.95
2,Hobart,40,AU,1573177869,70,-42.88,147.33,48.2,8.05
3,General Roca,51,AR,1573177872,42,-39.03,-67.58,62.6,9.64
4,Doka,0,SD,1573177872,59,13.52,35.76,76.21,5.46
5,Tuktoyaktuk,90,CA,1573177843,72,69.44,-133.03,14.0,19.46
6,Camocim,30,BR,1573177872,77,-2.9,-40.84,76.51,8.68
7,Santa Marinella,40,IT,1573177872,93,42.04,11.87,57.2,5.82
8,Taltal,40,CL,1573177872,88,-25.41,-70.49,53.46,2.06
9,Albany,90,US,1573177872,80,42.65,-73.75,37.4,14.99
10,Vaini,9,IN,1573177853,93,15.34,74.49,62.6,1.79
11,San Policarpo,0,PH,1573177873,68,12.18,125.51,85.08,7.34
12,Tasiilaq,100,GL,1573177873,86,65.61,-37.64,30.2,38.03
13,Pevek,100,RU,1573177873,61,69.7,170.27,24.57,14.99
14,Rikitea,93,PF,1573177873,85,-23.12,-134.97,74.07,13.06
15,Saldanha,20,PT,1573177873,91,41.42,-6.55,37.87,9.26
16,Praia da Vitoria,75,PT,1573177873,100,38.73,-27.07,60.8,8.34
17,Port Alfred,82,ZA,1573177873,73,-33.59,26.89,60.3,18.57
18,Tiksi,94,RU,1573177874,96,71.64,128.87,-5.68,5.68
19,Lavumisa,100,ZA,1573177874,81,-27.31,31.88,66.52,5.53
20,Isangel,20,VU,1573177874,69,-19.55,169.27,80.6,16.11
21,Bluff,0,AU,1573177874,11,-23.58,149.07,96.24,11.68
22,Chuy,0,UY,1573177874,85,-33.69,-53.46,61.79,6.06
23,Ushuaia,75,AR,1573177554,74,-54.81,-68.31,37.4,20.8
24,Kapaa,90,US,1573177837,61,22.08,-159.32,82.4,11.41
25,Butaritari,30,KI,1573177874,67,3.07,172.79,84.27,6.17
26,Mar del Plata,0,AR,1573177874,33,-46.43,-67.52,51.98,25.19
27,Coihaique,100,CL,1573177874,98,-45.58,-72.07,29.64,5.01
28,Shawnee,1,US,1573177875,80,35.33,-96.93,35.6,5.82
29,Mataura,37,NZ,1573177875,39,-46.19,168.86,68.45,11.21
30,Kijang,0,KR,1573177875,54,35.24,129.21,53.6,10.29
31,Dikson,75,RU,1573177838,97,73.51,80.55,-9.15,12.95
32,Fortuna,75,US,1573177875,100,40.6,-124.16,50.0,0.25
33,Carnarvon,23,ZA,1573177875,75,-30.97,22.13,46.31,15.48
34,Bredasdorp,14,ZA,1573177846,87,-34.53,20.04,50.0,5.82
35,Mehamn,100,NO,1573177875,91,71.03,27.85,28.22,12.35
36,Mecca,0,SA,1573177876,71,21.43,39.83,76.6,0.81
37,Tarata,90,PE,1573177876,87,-17.47,-70.03,60.8,5.82
38,Provideniya,5,RU,1573177876,83,64.42,-173.23,32.0,15.66
39,Puerto Maldonado,59,PE,1573177876,95,-12.59,-69.19,72.95,1.19
40,Saint-Joseph,100,FR,1573177876,93,43.56,6.97,51.8,8.1
41,Thompson,75,CA,1573177876,92,55.74,-97.86,6.8,4.0
42,Svetlogorsk,90,RU,1573177876,93,53.14,59.15,44.6,13.42
43,Hilo,1,US,1573177830,62,19.71,-155.08,84.2,8.05
44,Saskylakh,0,RU,1573177876,98,71.97,114.09,-24.83,5.91
45,La Crosse,1,US,1573177876,78,43.8,-91.24,21.2,4.7
46,Norman Wells,75,CA,1573177877,78,65.28,-126.83,12.2,12.75
47,Rocha,1,UY,1573177877,91,-34.48,-54.34,55.26,6.15
48,Kruisfontein,92,ZA,1573177877,86,-34.0,24.73,56.97,12.44
49,Pangnirtung,82,CA,1573177591,68,66.15,-65.72,15.64,5.35
50,Linxia,0,CN,1573177877,56,35.6,103.21,43.39,4.99
51,Altamira,24,BR,1573177877,88,-3.2,-52.21,75.74,2.01
52,Iqaluit,90,CA,1573177877,78,63.75,-68.52,15.8,16.11
53,Saint-Pierre,39,FR,1573177877,93,48.95,4.24,37.4,10.29
54,Columbus,90,US,1573177819,93,32.46,-84.99,66.2,8.08
55,Moose Factory,20,CA,1573177878,71,51.26,-80.61,8.6,4.7
56,Lata,10,IN,1573177878,76,30.78,78.62,26.19,5.61
57,Codrington,0,AU,1573177878,9,-28.95,153.24,98.6,17.22
58,Uvira,97,CD,1573177878,85,-3.41,29.14,52.16,1.3
59,Santa Rita do Sapucai,100,BR,1573177878,98,-22.25,-45.7,64.11,2.39
60,Jaranwala,0,PK,1573177879,79,31.33,73.42,60.66,9.86
61,Cairns,38,AU,1573177832,54,-16.92,145.77,82.4,9.17
62,Lebu,40,ET,1573177866,62,8.96,38.73,55.4,3.36
63,Victoria,75,BN,1573177879,83,5.28,115.24,84.2,4.7
64,Barrow,2,AR,1573177844,91,-38.31,-60.23,43.27,6.91
65,Bosaso,0,SO,1573177879,71,11.28,49.18,82.53,10.22
66,Hambantota,40,LK,1573177879,100,6.12,81.12,77.0,5.82
67,Punta Arenas,98,CL,1573177879,81,-53.16,-70.91,36.37,13.31
68,Inhambane,0,MZ,1573177879,85,-23.87,35.38,76.62,11.63
69,Troitsko-Pechorsk,67,RU,1573177880,95,62.71,56.19,7.21,4.83
70,Avarua,100,CK,1573177880,69,-21.21,-159.78,77.0,11.41
71,Sao Filipe,100,CV,1573177880,81,14.9,-24.5,74.32,16.2
72,Vila Franca do Campo,20,PT,1573177880,82,37.72,-25.43,60.8,4.7
73,Burley,1,US,1573177880,52,42.54,-113.79,46.4,1.19
74,Hirara,40,JP,1573177880,64,24.8,125.28,78.8,14.99
75,Svetlaya,98,RU,1573177880,38,46.54,138.33,26.37,4.72
76,Vallam,20,IN,1573177880,94,10.72,79.06,75.2,5.82
77,Cape Town,20,ZA,1573177802,82,-33.93,18.42,57.2,8.05
78,Bethel,90,US,1573177881,92,60.79,-161.76,30.2,14.99
79,Sabha,0,LY,1573177877,44,27.03,14.43,64.9,9.44
80,Arraial do Cabo,100,BR,1573177881,91,-22.97,-42.02,72.77,14.34
81,Agadir,22,MA,1573177881,81,30.42,-9.58,53.6,3.36
82,Fairbanks,90,US,1573177807,73,64.84,-147.72,24.8,9.17
83,New Norfolk,40,AU,1573177881,70,-42.78,147.06,48.2,8.05
84,Port Lincoln,75,AU,1573177881,49,-34.72,135.86,58.17,19.22
85,Klaksvik,80,FO,1573177866,74,62.23,-6.59,28.4,4.7
86,Yuanping,0,CN,1573177882,60,38.72,112.71,49.26,3.29
87,Georgetown,75,GY,1573177823,88,6.8,-58.16,80.6,6.93
88,Cabo San Lucas,90,MX,1573177857,74,22.89,-109.91,80.6,4.7
89,Kaitangata,62,NZ,1573177842,73,-46.28,169.85,56.43,18.48
90,Rio Grande,0,BR,1573177779,93,-32.03,-52.1,65.46,3.78
91,Alta Floresta,100,BR,1573177882,85,-9.87,-56.08,72.28,1.81
92,Nikolskoye,90,RU,1573177882,92,59.7,30.79,24.8,8.95
93,Taoudenni,37,ML,1573177883,25,22.68,-3.98,65.95,2.42
94,Illela,0,NG,1573177883,38,12.25,4.3,76.06,5.26
95,Cerritos,1,US,1573177883,46,33.86,-118.05,77.0,4.7
96,Tuatapere,19,NZ,1573177883,82,-46.13,167.69,52.56,6.78
97,Ossora,85,RU,1573177883,84,59.24,163.07,37.45,10.22
98,Cabedelo,40,BR,1573177883,83,-6.97,-34.84,77.0,8.05
99,Kribi,97,CM,1573177883,92,2.94,9.91,75.79,3.65
100,Jamestown,57,AU,1573177832,36,-33.21,138.6,58.96,22.77
101,Byron Bay,0,AU,1573177884,9,-28.65,153.62,98.6,17.22
102,Beloha,0,MG,1573177868,53,-25.17,45.06,74.77,7.0
103,Kavieng,91,PG,1573177884,72,-2.57,150.8,84.25,10.69
104,Palana,29,RU,1573177884,78,59.08,159.95,33.28,8.59
105,Copiapo,0,CL,1573177884,93,-27.37,-70.33,50.43,1.52
